Var1,Var2,Freq,yes,prob,x
1,2ratio <0.01,961,902,93.86,6
2,2ratio <0.01,940,886,94.26,6
3,2ratio <0.01,932,882,94.64,6
1,2ratio <0.009,961,902,93.86,5
2,2ratio <0.009,940,886,94.26,5
3,2ratio <0.009,932,880,94.42,5
1,2ratio <0.008,961,902,93.86,4
2,2ratio <0.008,940,886,94.26,4
3,2ratio <0.008,932,880,94.42,4
1,2ratio <0.007,961,878,91.36,3
2,2ratio <0.007,940,869,92.45,3
3,2ratio <0.007,932,866,92.92,3
1,2ratio <0.006,961,873,90.84,2
2,2ratio <0.006,940,865,92.02,2
3,2ratio <0.006,932,859,92.17,2
1,2ratio <0.005,961,497,51.72,1
2,2ratio <0.005,940,481,51.17,1
3,2ratio <0.005,932,474,50.86,1
