"","group2","A","B","C","D","group","gene"
"1",1,91.005,171.003,225,0.355546666666667,"ctrl","CDKN2AIP"
"2",2,116.017,157.029,195.041,0.210273737316769,"ctrl","CDKN2AIP"
"3",3,71.386,166.307,214.56,0.442398396718866,"ctrl","CDKN2AIP"
"4",4,121.297,170.329,211.814,0.231486115176523,"ctrl","CDKN2AIP"
"5",5,108.301,165.124,195.133,0.291201385721533,"ctrl","CDKN2AIP"
"6",6,72.201,140.656,180.602,0.379037884408811,"ctrl","CDKN2AIP"
"7",7,129.201,162.41,197.626,0.168039630413002,"ctrl","CDKN2AIP"
"8",8,20.1,154.635,208.959,0.643834436420542,"ctrl","CDKN2AIP"
"9",9,36.497,154.557,217.706,0.542290979577963,"ctrl","CDKN2AIP"
"10",10,113.748,161.208,201.613,0.235401487007286,"ctrl","CDKN2AIP"
"11",11,114.49,178.986,216.315,0.298157779164644,"ctrl","CDKN2AIP"
"12",12,138.405,188.043,232.078,0.213884986944045,"ctrl","CDKN2AIP"
"13",13,88.006,157.547,204.416,0.340193526925485,"ctrl","CDKN2AIP"
"14",14,29.206,150.659,201.229,0.603556147473774,"ctrl","CDKN2AIP"
"15",15,81.633,150.586,192.769,0.357697555104815,"ctrl","CDKN2AIP"
"16",16,109.563,161.555,198.323,0.262158196477464,"ctrl","CDKN2AIP"
"17",17,73.539,159.7,205.767,0.41873089465269,"ctrl","CDKN2AIP"
"18",18,130.43,167.631,198.595,0.187320929529948,"ctrl","CDKN2AIP"
"19",19,108.24,181.604,187.926,0.390387705799091,"ctrl","CDKN2AIP"
"20",20,116.379,177.73,221.359,0.27715611292064,"ctrl","CDKN2AIP"
"21",21,52.802,160.86,223.329,0.483851179201985,"ctrl","CDKN2AIP"
"22",22,86.556,175.568,212.81,0.418269818147644,"ctrl","CDKN2AIP"
"23",23,77.897,170.176,208.471,0.44264669906126,"ctrl","CDKN2AIP"
"24",24,22.804,169.293,203.066,0.721386150315661,"ctrl","CDKN2AIP"
"25",25,137.753,178.885,212.047,0.193975863841507,"ctrl","CDKN2AIP"
"26",26,139.843,164.56,192.333,0.128511487888194,"ctrl","CDKN2AIP"
"27",27,128.515,159.7,197.585,0.157830806994458,"ctrl","CDKN2AIP"
"28",28,127.311,182.483,210.723,0.261822392429872,"ctrl","CDKN2AIP"
"29",29,141.421,176.782,202.237,0.174849310462477,"ctrl","CDKN2AIP"
"30",30,178.393,184.716,216.333,0.0292280881788724,"ctrl","CDKN2AIP"
"31",31,124.788,174.184,200.928,0.245839305621914,"ctrl","CDKN2AIP"
"32",1,71.84,152.486,209.096,0.38568887018403,"gene","CDKN2AIP"
"33",2,63.64,160.381,206.194,0.469174660756375,"gene","CDKN2AIP"
"34",3,162.028,165.109,197.205,0.0156233361223094,"gene","CDKN2AIP"
"35",4,76.322,118.609,187.601,0.22540924621937,"gene","CDKN2AIP"
"36",5,103.078,143.837,205.448,0.198390833690277,"gene","CDKN2AIP"
"37",6,149.345,173.666,188.664,0.128911716066658,"gene","CDKN2AIP"
"38",7,117.388,128.445,170.848,0.0647183461322344,"gene","CDKN2AIP"
"39",8,84.694,152.315,194.618,0.347455014438541,"gene","CDKN2AIP"
"40",9,161.251,173.104,207.292,0.0571802095594621,"gene","CDKN2AIP"
"41",10,137.244,155.666,195.931,0.0940228958153635,"gene","CDKN2AIP"
"42",11,139.445,188.621,197.19,0.249383842994067,"gene","CDKN2AIP"
"43",12,85.428,131.366,173.234,0.265178890979831,"gene","CDKN2AIP"
"44",13,82.079,96.208,163.982,0.0861618958178337,"gene","CDKN2AIP"
"45",14,56.4,139.201,193.215,0.428543332556996,"gene","CDKN2AIP"
"46",15,59.414,103.238,184.556,0.237456381802813,"gene","CDKN2AIP"
"47",16,164.012,173.003,219.618,0.0409392672731743,"gene","CDKN2AIP"
"48",17,126.463,141.693,183.469,0.0830112989115328,"gene","CDKN2AIP"
"49",18,98.234,112.539,186.325,0.076774453240306,"gene","CDKN2AIP"
"50",19,130.633,168.309,186.936,0.201544913767279,"gene","CDKN2AIP"
"51",20,50.22,105.119,154.78,0.354690528492053,"gene","CDKN2AIP"
"52",21,83.187,122.376,192.213,0.203883192083782,"gene","CDKN2AIP"
"53",22,161.447,190.515,219.911,0.132180745847184,"gene","CDKN2AIP"
"54",23,105.119,169.296,207.155,0.309801839202529,"gene","CDKN2AIP"
"55",24,115.974,144.128,196.726,0.143112755812653,"gene","CDKN2AIP"
