"","group2","A","B","C","D","group","gene"
"1",1,60,176.011,220,0.527322727272727,"ctrl","HK3"
"2",2,58.241,161.914,217.568,0.476508493896161,"ctrl","HK3"
"3",3,77.795,182.165,199.249,0.523816932581845,"ctrl","HK3"
"4",4,35.777,148.499,237.933,0.473755216804731,"ctrl","HK3"
"5",5,72.028,190.011,228,0.517469298245614,"ctrl","HK3"
"6",6,74.243,164.596,210.466,0.429299744376764,"ctrl","HK3"
"7",7,79.228,137.364,209.538,0.277448481898271,"ctrl","HK3"
"8",8,78.102,160.253,190.263,0.43177601530513,"ctrl","HK3"
"9",9,63.506,178.017,244.387,0.468564203496913,"ctrl","HK3"
"10",10,40.853,160.112,206.93,0.576325327405403,"ctrl","HK3"
"11",11,127.059,202.247,224.437,0.335007151227293,"ctrl","HK3"
"12",12,22.091,128.25,180.4,0.588464523281596,"ctrl","HK3"
"13",13,68.029,144.014,228.035,0.333216392220493,"ctrl","HK3"
"14",14,72.916,158,222.009,0.383245724272439,"ctrl","HK3"
"15",15,80.265,154.208,204.519,0.361545871043766,"ctrl","HK3"
"16",16,36.056,154.208,208.154,0.567618205751511,"ctrl","HK3"
"17",1,12.649,140.428,212.509,0.601287474883417,"gene","HK3"
"18",2,38.21,156.818,196.652,0.603136505095295,"gene","HK3"
"19",3,33.326,100.08,195.133,0.342094878877484,"gene","HK3"
"20",4,41.244,154.324,208.471,0.542425565186525,"gene","HK3"
"21",5,32.985,141.223,213.026,0.50809760310948,"gene","HK3"
"22",6,24.331,139.714,195.489,0.59022758313767,"gene","HK3"
"23",7,44.407,164.073,210.761,0.567780566613368,"gene","HK3"
"24",8,30.265,150.851,200.998,0.599936317774306,"gene","HK3"
"25",9,12,132.136,178.281,0.673857561938737,"gene","HK3"
"26",10,38.053,174.011,220.082,0.617760652847575,"gene","HK3"
