"","group2","A","B","C","D","group","gene"
"1",1,60,176.011,220,0.527322727272727,"ctrl","LEMD2"
"2",2,58.241,161.914,217.568,0.476508493896161,"ctrl","LEMD2"
"3",3,77.795,182.165,199.249,0.523816932581845,"ctrl","LEMD2"
"4",4,35.777,148.499,237.933,0.473755216804731,"ctrl","LEMD2"
"5",5,72.028,190.011,228,0.517469298245614,"ctrl","LEMD2"
"6",6,74.243,164.596,210.466,0.429299744376764,"ctrl","LEMD2"
"7",7,79.228,137.364,209.538,0.277448481898271,"ctrl","LEMD2"
"8",8,78.102,160.253,190.263,0.43177601530513,"ctrl","LEMD2"
"9",9,63.506,178.017,244.387,0.468564203496913,"ctrl","LEMD2"
"10",10,40.853,160.112,206.93,0.576325327405403,"ctrl","LEMD2"
"11",11,127.059,202.247,224.437,0.335007151227293,"ctrl","LEMD2"
"12",12,22.091,128.25,180.4,0.588464523281596,"ctrl","LEMD2"
"13",13,68.029,144.014,228.035,0.333216392220493,"ctrl","LEMD2"
"14",14,72.916,158,222.009,0.383245724272439,"ctrl","LEMD2"
"15",15,80.265,154.208,204.519,0.361545871043766,"ctrl","LEMD2"
"16",16,36.056,154.208,208.154,0.567618205751511,"ctrl","LEMD2"
"17",1,74,172.662,222,0.444423423423423,"gene","LEMD2"
"18",2,112.588,178.539,234.776,0.280910314512557,"gene","LEMD2"
"19",3,118,176,228.009,0.254375923757396,"gene","LEMD2"
"20",4,44,140.014,208.038,0.461521452811506,"gene","LEMD2"
"21",5,91.411,154.208,211.811,0.296476575815231,"gene","LEMD2"
"22",6,136.308,197.909,229.965,0.267871197790968,"gene","LEMD2"
"23",7,165.082,196.061,226.433,0.13681309703091,"gene","LEMD2"
"24",8,99.539,210.95,244.769,0.455167933847832,"gene","LEMD2"
"25",9,103.73,148,195.479,0.226469339417533,"gene","LEMD2"
"26",10,86.579,186.869,223.294,0.449138803550476,"gene","LEMD2"
"27",11,72.111,136.235,196.163,0.326891411734119,"gene","LEMD2"
"28",12,72.25,180.898,218.229,0.497862337269565,"gene","LEMD2"
"29",13,106.921,183.576,235.44,0.325581889228678,"gene","LEMD2"
"30",14,104.403,203.843,248.652,0.399916348953558,"gene","LEMD2"
"31",15,98.061,161.617,241.661,0.262996511642342,"gene","LEMD2"
"32",16,184.619,212.462,266.308,0.104551872268201,"gene","LEMD2"
"33",17,78.588,149.452,220.327,0.321631030241414,"gene","LEMD2"
"34",18,121.342,210.152,242.124,0.366795526259272,"gene","LEMD2"
"35",19,70,190,224.08,0.535523027490182,"gene","LEMD2"
"36",20,71.007,140.032,208.154,0.331605445967889,"gene","LEMD2"
"37",21,86.145,154.117,212.191,0.320334038672705,"gene","LEMD2"
"38",22,44,101,189.066,0.301482022150995,"gene","LEMD2"
"39",23,62.073,135.237,181.466,0.403182965403987,"gene","LEMD2"
"40",24,63.135,130.698,196.492,0.343846059890479,"gene","LEMD2"
"41",25,70.214,136.473,194.487,0.340686009861842,"gene","LEMD2"
"42",26,62.936,129.341,220.88,0.300638355668236,"gene","LEMD2"
"43",27,43.681,119.331,193.186,0.391591523195263,"gene","LEMD2"
