"","group2","A","B","C","D","group","gene"
"1",1,13.543,132.471,199.28,0.596788438378161,"ctrl","NEK9"
"2",2,63.899,134.522,183.685,0.384478863271361,"ctrl","NEK9"
"3",3,88.342,185.027,233.236,0.414537206949185,"ctrl","NEK9"
"4",4,100.878,160.788,185.027,0.323790581915072,"ctrl","NEK9"
"5",5,36,160.012,220.036,0.563598683851733,"ctrl","NEK9"
"6",6,152.329,174.562,218.586,0.101712826988005,"ctrl","NEK9"
"7",7,94,182.011,228.009,0.385997921134692,"ctrl","NEK9"
"8",8,84.593,173.159,208.959,0.423843911963591,"ctrl","NEK9"
"9",9,56.321,172.743,219.107,0.53134769770021,"ctrl","NEK9"
"10",10,48.662,161.79,214.709,0.52688988351676,"ctrl","NEK9"
"11",11,66.483,169.434,217.807,0.472670758974689,"ctrl","NEK9"
"12",12,102.703,153.31,216.093,0.234190834501812,"ctrl","NEK9"
"13",13,107.517,190.704,221.287,0.375923574362706,"ctrl","NEK9"
"14",14,48.703,175.328,229.172,0.552532595605048,"ctrl","NEK9"
"15",15,76.551,170.88,222.854,0.423277123138916,"ctrl","NEK9"
"16",16,52.498,189.156,213.251,0.640831695982668,"ctrl","NEK9"
"17",17,80.623,175.385,220.336,0.430079514922663,"ctrl","NEK9"
"18",18,90.022,174.184,204.088,0.412380933714868,"ctrl","NEK9"
"19",19,98.326,170.575,206.785,0.349391880455546,"ctrl","NEK9"
"20",20,72.028,186.172,224.036,0.509489546322912,"ctrl","NEK9"
"21",21,51.264,185.699,226.927,0.59241518197482,"ctrl","NEK9"
"22",22,43.681,165.13,225.158,0.539394558487817,"ctrl","NEK9"
"23",23,76.551,142.618,209.848,0.314832640768556,"ctrl","NEK9"
"24",24,41.761,184.098,228.359,0.623303657837002,"ctrl","NEK9"
"25",25,26.306,186.43,231.145,0.692742650717082,"ctrl","NEK9"
"26",1,91.032,159.47,197.635,0.346284817972525,"gene","NEK9"
"27",2,86.503,187.248,227.643,0.442556986158151,"gene","NEK9"
"28",3,73.071,162.653,198.066,0.452283582240263,"gene","NEK9"
"29",4,60.754,157.895,196.417,0.494565134382462,"gene","NEK9"
"30",5,70.356,176.464,229.139,0.463072632768756,"gene","NEK9"
"31",6,91.236,160.225,196.385,0.351294650813453,"gene","NEK9"
"32",7,85.215,168.607,236.101,0.353204772533789,"gene","NEK9"
"33",8,125.346,180.072,211.87,0.258299900882617,"gene","NEK9"
"34",9,96.42,183.466,228.282,0.381309082625875,"gene","NEK9"
"35",10,116.105,171.927,229.495,0.243238414780278,"gene","NEK9"
"36",11,86.925,173.851,205.105,0.423812193754418,"gene","NEK9"
"37",12,99.298,154.984,234.094,0.237878800823601,"gene","NEK9"
"38",13,77.666,157.29,192.634,0.413343438852954,"gene","NEK9"
"39",14,136.235,178.404,210.238,0.200577440805183,"gene","NEK9"
"40",15,153.075,182.187,213.214,0.136538876434005,"gene","NEK9"
"41",16,97.015,170.329,254.7,0.287844522968198,"gene","NEK9"
"42",17,96.333,172.418,220.735,0.344689333363535,"gene","NEK9"
"43",18,122.197,189.41,241.404,0.278425378204172,"gene","NEK9"
"44",19,100.578,187.926,213.214,0.40967291078447,"gene","NEK9"
"45",20,155.756,168.345,213.925,0.0588477270071287,"gene","NEK9"
"46",21,122.262,179.978,204.714,0.281934796838516,"gene","NEK9"
"47",22,110.164,196.163,224.722,0.382690613291089,"gene","NEK9"
"48",23,89.822,153.375,218.477,0.290891032007946,"gene","NEK9"
"49",24,68.264,170.751,212.941,0.481292940298017,"gene","NEK9"
