"","group2","A","B","C","D","group","gene"
"1",1,91.005,171.003,225,0.355546666666667,"ctrl","NIPSNAP3A"
"2",2,116.017,157.029,195.041,0.210273737316769,"ctrl","NIPSNAP3A"
"3",3,71.386,166.307,214.56,0.442398396718866,"ctrl","NIPSNAP3A"
"4",4,121.297,170.329,211.814,0.231486115176523,"ctrl","NIPSNAP3A"
"5",5,108.301,165.124,195.133,0.291201385721533,"ctrl","NIPSNAP3A"
"6",6,72.201,140.656,180.602,0.379037884408811,"ctrl","NIPSNAP3A"
"7",7,129.201,162.41,197.626,0.168039630413002,"ctrl","NIPSNAP3A"
"8",8,20.1,154.635,208.959,0.643834436420542,"ctrl","NIPSNAP3A"
"9",9,36.497,154.557,217.706,0.542290979577963,"ctrl","NIPSNAP3A"
"10",10,113.748,161.208,201.613,0.235401487007286,"ctrl","NIPSNAP3A"
"11",11,114.49,178.986,216.315,0.298157779164644,"ctrl","NIPSNAP3A"
"12",12,138.405,188.043,232.078,0.213884986944045,"ctrl","NIPSNAP3A"
"13",13,88.006,157.547,204.416,0.340193526925485,"ctrl","NIPSNAP3A"
"14",14,29.206,150.659,201.229,0.603556147473774,"ctrl","NIPSNAP3A"
"15",15,81.633,150.586,192.769,0.357697555104815,"ctrl","NIPSNAP3A"
"16",16,109.563,161.555,198.323,0.262158196477464,"ctrl","NIPSNAP3A"
"17",17,73.539,159.7,205.767,0.41873089465269,"ctrl","NIPSNAP3A"
"18",18,130.43,167.631,198.595,0.187320929529948,"ctrl","NIPSNAP3A"
"19",19,108.24,181.604,187.926,0.390387705799091,"ctrl","NIPSNAP3A"
"20",20,116.379,177.73,221.359,0.27715611292064,"ctrl","NIPSNAP3A"
"21",21,52.802,160.86,223.329,0.483851179201985,"ctrl","NIPSNAP3A"
"22",22,86.556,175.568,212.81,0.418269818147644,"ctrl","NIPSNAP3A"
"23",23,77.897,170.176,208.471,0.44264669906126,"ctrl","NIPSNAP3A"
"24",24,22.804,169.293,203.066,0.721386150315661,"ctrl","NIPSNAP3A"
"25",25,137.753,178.885,212.047,0.193975863841507,"ctrl","NIPSNAP3A"
"26",26,139.843,164.56,192.333,0.128511487888194,"ctrl","NIPSNAP3A"
"27",27,128.515,159.7,197.585,0.157830806994458,"ctrl","NIPSNAP3A"
"28",28,127.311,182.483,210.723,0.261822392429872,"ctrl","NIPSNAP3A"
"29",29,141.421,176.782,202.237,0.174849310462477,"ctrl","NIPSNAP3A"
"30",30,178.393,184.716,216.333,0.0292280881788724,"ctrl","NIPSNAP3A"
"31",31,124.788,174.184,200.928,0.245839305621914,"ctrl","NIPSNAP3A"
"32",1,131.605,163.218,203.214,0.155565069335774,"gene","NIPSNAP3A"
"33",2,98.793,162.604,196.54,0.324671822529765,"gene","NIPSNAP3A"
"34",3,76.968,155.641,190.515,0.412949111618508,"gene","NIPSNAP3A"
"35",4,111.803,171.732,216.453,0.276868419472126,"gene","NIPSNAP3A"
"36",5,98.793,153.101,205.251,0.264593107950753,"gene","NIPSNAP3A"
"37",6,132.575,152.552,169.753,0.11768275082031,"gene","NIPSNAP3A"
"38",7,86.764,158.316,191.416,0.373803652777197,"gene","NIPSNAP3A"
"39",8,141.365,175.328,208.432,0.16294522913948,"gene","NIPSNAP3A"
"40",9,161.914,173.528,200.36,0.0579656618087443,"gene","NIPSNAP3A"
"41",10,148.081,179.689,208.806,0.151374960489641,"gene","NIPSNAP3A"
"42",11,87.476,144.361,199.65,0.284923616328575,"gene","NIPSNAP3A"
"43",12,90.796,169.186,207.393,0.377978041688967,"gene","NIPSNAP3A"
"44",13,76.236,162.308,194.371,0.442823260671602,"gene","NIPSNAP3A"
"45",14,118.152,176.409,212.339,0.274358455111873,"gene","NIPSNAP3A"
"46",15,145.602,169.517,207.461,0.115274678132275,"gene","NIPSNAP3A"
"47",16,118.152,162.197,204.245,0.215647873876961,"gene","NIPSNAP3A"
"48",17,161.009,191.269,217.329,0.139235905010376,"gene","NIPSNAP3A"
"49",18,172.743,186.869,222.899,0.063373994499751,"gene","NIPSNAP3A"
"50",19,150.864,167.356,204.714,0.0805611731488808,"gene","NIPSNAP3A"
"51",20,142.506,170.575,226.716,0.123806877326699,"gene","NIPSNAP3A"
"52",21,102.956,197.717,242.396,0.390934668888926,"gene","NIPSNAP3A"
"53",22,116.103,160.823,199.65,0.223991985975457,"gene","NIPSNAP3A"
"54",23,63.561,184.835,233.855,0.518586303478651,"gene","NIPSNAP3A"
"55",24,89.443,174.264,214.709,0.39505097597213,"gene","NIPSNAP3A"
"56",25,123.321,184.141,216.379,0.281080881231543,"gene","NIPSNAP3A"
"57",26,142.225,202.485,220.735,0.27299703264095,"gene","NIPSNAP3A"
"58",27,134.134,180.278,206.349,0.22362114669807,"gene","NIPSNAP3A"
"59",28,142.506,174.562,206.785,0.155020915443577,"gene","NIPSNAP3A"
