"","group2","A","B","C","D","group","gene"
"1",1,94.53,166.208,222.895,0.321577424347787,"ctrl","STK38"
"2",2,74.148,173.173,205.01,0.483025218282035,"ctrl","STK38"
"3",3,52.24,160.378,216.52,0.499436541658969,"ctrl","STK38"
"4",4,101.533,188.51,218.22,0.398574832737604,"ctrl","STK38"
"5",5,137.088,197.8,224.04,0.270987323692198,"ctrl","STK38"
"6",6,109.895,191.901,241.897,0.339012058851495,"ctrl","STK38"
"7",7,28.792,169.944,221.563,0.637073879664023,"ctrl","STK38"
"8",8,77.621,142.874,216.372,0.3015778381676,"ctrl","STK38"
"9",9,62.169,171.607,229.856,0.476115480996798,"ctrl","STK38"
"10",10,66.219,143.136,209.201,0.367670326623678,"ctrl","STK38"
"11",11,102.772,173.173,218.689,0.321922913360983,"ctrl","STK38"
"12",12,132.401,174.184,197.952,0.211076422567087,"ctrl","STK38"
"13",13,118.512,177.102,219.146,0.267356009235852,"ctrl","STK38"
"14",14,85,168.003,223.009,0.372195740979064,"ctrl","STK38"
"15",15,102.044,186.097,222.11,0.378429606951511,"ctrl","STK38"
"16",16,85,186.003,213.009,0.474172452807158,"ctrl","STK38"
"17",1,70.937,176.782,208.216,0.508342298382449,"gene","STK38"
"18",2,51.01,144.031,191.024,0.48695975374822,"gene","STK38"
"19",3,89.09,157.08,195.126,0.348441519838463,"gene","STK38"
"20",4,100.125,154.263,183.393,0.295202106950647,"gene","STK38"
"21",5,62.073,165.148,201.249,0.512176458019667,"gene","STK38"
"22",6,127.193,152.329,192.375,0.13066146848603,"gene","STK38"
"23",7,85.586,169.956,214.933,0.392540931360005,"gene","STK38"
"24",8,148.57,184.532,209.774,0.171432112654571,"gene","STK38"
"25",9,104.048,146.986,178.765,0.240192431404358,"gene","STK38"
"26",10,96.664,143.178,184.391,0.252257431219528,"gene","STK38"
"27",11,97.309,135.558,204.636,0.186912371234778,"gene","STK38"
"28",12,110.639,140.161,193.127,0.152863141870375,"gene","STK38"
"29",13,107.154,160.851,199.251,0.269494255988678,"gene","STK38"
"30",14,103.774,163.637,214.947,0.278501211926661,"gene","STK38"
"31",15,147.136,173.519,203.931,0.129372189613153,"gene","STK38"
"32",16,68.154,132.034,189.974,0.336256540368682,"gene","STK38"
"33",17,124.234,153.574,194.997,0.150463853290051,"gene","STK38"
