"","group2","A","B","C","D","group","gene"
"1",1,94.53,166.208,222.895,0.321577424347787,"ctrl","VPS13A"
"2",2,74.148,173.173,205.01,0.483025218282035,"ctrl","VPS13A"
"3",3,52.24,160.378,216.52,0.499436541658969,"ctrl","VPS13A"
"4",4,101.533,188.51,218.22,0.398574832737604,"ctrl","VPS13A"
"5",5,137.088,197.8,224.04,0.270987323692198,"ctrl","VPS13A"
"6",6,109.895,191.901,241.897,0.339012058851495,"ctrl","VPS13A"
"7",7,28.792,169.944,221.563,0.637073879664023,"ctrl","VPS13A"
"8",8,77.621,142.874,216.372,0.3015778381676,"ctrl","VPS13A"
"9",9,62.169,171.607,229.856,0.476115480996798,"ctrl","VPS13A"
"10",10,66.219,143.136,209.201,0.367670326623678,"ctrl","VPS13A"
"11",11,102.772,173.173,218.689,0.321922913360983,"ctrl","VPS13A"
"12",12,132.401,174.184,197.952,0.211076422567087,"ctrl","VPS13A"
"13",13,118.512,177.102,219.146,0.267356009235852,"ctrl","VPS13A"
"14",14,85,168.003,223.009,0.372195740979064,"ctrl","VPS13A"
"15",15,102.044,186.097,222.11,0.378429606951511,"ctrl","VPS13A"
"16",16,85,186.003,213.009,0.474172452807158,"ctrl","VPS13A"
"17",1,142.056,195.092,238.103,0.222743938547603,"gene","VPS13A"
"18",2,161,183.003,212.002,0.10378675672871,"gene","VPS13A"
"19",3,66.068,154.117,228.178,0.385878568486006,"gene","VPS13A"
"20",4,73.077,110.962,187.193,0.20238470455626,"gene","VPS13A"
"21",5,110.238,166.458,207.645,0.270750559849744,"gene","VPS13A"
"22",6,140.65,183,210.193,0.201481495577874,"gene","VPS13A"
"23",7,77.777,94.928,148.947,0.115148341356321,"gene","VPS13A"
"24",8,73.11,125.256,215.523,0.241950975069946,"gene","VPS13A"
"25",9,108.074,162.111,213.115,0.253557938202379,"gene","VPS13A"
"26",10,70.88,118.004,197.254,0.23890009835035,"gene","VPS13A"
"27",11,114.586,167.502,217.47,0.243325516163149,"gene","VPS13A"
"28",12,86.035,144.9,221.563,0.265680641623376,"gene","VPS13A"
