"","group2","A","B","C","D","group","gene"
"1",1,62.29,142.688,192.842,0.416911253772518,"ctrl","VPS51"
"2",2,128.016,140.014,188.011,0.0638154150555022,"ctrl","VPS51"
"3",3,82.389,156.818,201.206,0.369914416071091,"ctrl","VPS51"
"4",4,67.676,144.222,188.489,0.406103273931105,"ctrl","VPS51"
"5",5,82.873,124.064,200.18,0.205769807173544,"ctrl","VPS51"
"6",6,75.153,156.525,218.257,0.372826530191471,"ctrl","VPS51"
"7",7,110.725,145.602,224.179,0.155576570508388,"ctrl","VPS51"
"8",8,107.703,164.924,202.781,0.282181269448321,"ctrl","VPS51"
"9",9,86.579,136.719,204.793,0.244832587051315,"ctrl","VPS51"
"10",10,72.028,124.145,202.247,0.257689854484862,"ctrl","VPS51"
"11",11,116.276,150.213,184.272,0.184167969089173,"ctrl","VPS51"
"12",12,88.091,130.015,184.098,0.227726536953144,"ctrl","VPS51"
"13",13,86.371,162.788,194.659,0.392568542939191,"ctrl","VPS51"
"14",14,104.785,140.186,200.848,0.176257667489843,"ctrl","VPS51"
"15",15,61.612,133.881,183.358,0.394141515505187,"ctrl","VPS51"
"16",16,104.346,178.997,216.342,0.345060136265727,"ctrl","VPS51"
"17",17,115.741,137.244,191.039,0.112558168750883,"ctrl","VPS51"
"18",18,115.169,147.472,197.231,0.163782569677181,"ctrl","VPS51"
"19",19,85.088,133.417,196.825,0.245542995046361,"ctrl","VPS51"
"20",1,127.012,171.292,220.477,0.200837275543481,"gene","VPS51"
"21",2,138.293,175.308,194.99,0.18983024770501,"gene","VPS51"
"22",3,169.257,185.421,210.297,0.0768627227207235,"gene","VPS51"
"23",4,117.686,138.192,213.572,0.0960144588241904,"gene","VPS51"
"24",5,105.688,154.729,212.313,0.230984442780235,"gene","VPS51"
"25",6,182.937,199.672,226.947,0.0737396837146998,"gene","VPS51"
"26",7,89.588,147.567,211.804,0.273738928443278,"gene","VPS51"
"27",8,166.517,198.635,219.135,0.146567184612225,"gene","VPS51"
"28",9,172.627,187.883,212.941,0.0716442582687223,"gene","VPS51"
"29",10,147.567,197.585,231.931,0.215658967537759,"gene","VPS51"
"30",11,120.216,142.843,212.207,0.106627019843832,"gene","VPS51"
"31",12,132.484,188.733,218.248,0.257729738645944,"gene","VPS51"
"32",13,171.406,185.397,237.605,0.0588834410050293,"gene","VPS51"
"33",14,138.593,152.735,213.551,0.0662230567873718,"gene","VPS51"
"34",15,155.974,171.593,194.165,0.0804418922050833,"gene","VPS51"
"35",16,121.491,198.645,233.624,0.330248604595418,"gene","VPS51"
