,D,group,gene
1,0.569287592,ctrl,hpx2
2,0.434512947,ctrl,hpx2
3,0.242672057,ctrl,hpx2
4,0.224975592,ctrl,hpx2
5,0.518091554,ctrl,hpx2
6,0.281553872,ctrl,hpx2
7,0.528564877,ctrl,hpx2
8,0.273978369,ctrl,hpx2
9,0.19379355,ctrl,hpx2
10,0.13715419,ctrl,hpx2
11,0.511631567,ctrl,hpx2
12,0.266796266,ctrl,hpx2
13,0.385469111,ctrl,hpx2
14,0.202465562,ctrl,hpx2
15,0.327926815,ctrl,hpx2
16,0.20397753,ctrl,hpx2
17,0.685372333,ctrl,hpx2
18,0.325280599,ctrl,hpx2
19,0.181728895,gene,hpx2
20,0.324442631,gene,hpx2
21,0.591169475,gene,hpx2
22,0.574436111,gene,hpx2
23,0.404120966,gene,hpx2
24,0.581521134,gene,hpx2
25,0.262123819,gene,hpx2
26,0.498319453,gene,hpx2
27,0.525002063,gene,hpx2
28,0.658327719,gene,hpx2
29,0.649869704,gene,hpx2
30,0.679480662,gene,hpx2
31,0.730829267,gene,hpx2
32,0.327778397,gene,hpx2
33,0.563961771,gene,hpx2
34,0.574427069,gene,hpx2
35,0.570682769,gene,hpx2
36,0.534638668,gene,hpx2
37,0.707220267,gene,hpx2
38,0.767988334,gene,hpx2
39,0.63301305,gene,hpx2
40,0.639391596,gene,hpx2
41,0.461447196,gene,hpx2
42,0.427644108,gene,hpx2
43,0.419604772,gene,hpx2
44,0.524012287,gene,hpx2
45,0.62915248,gene,hpx2
