node1,node2
PRDX6,ACLY
PRDX6,AKR1B1
PRDX6,ALDOC
ACLY,DLD
PRDX6,DLD
ACLY,FASN
ALDOC,FASN
PRDX6,FASN
ALDOC,FLNA
CAPZB,FLNA
CNN1,FLNA
FASN,FLNA
ATP2B4,GDI2
ACLY,Glycolysis
ALDOC,Glycolysis
LDHB,Glycolysis
LDHB,Glycolysis
PCK2,Glycolysis
PGK1,Glycolysis
PRDX6,GSTM1
DLD,oxidoreductase activity
FASN,oxidoreductase activity
GSTM1,oxidoreductase activity
MDH1,oxidoreductase activity
PRDX6,oxidoreductase activity
ACLY,PCK2
ALDOC,PCK2
FASN,PCK2
DLD,PDIA3
PRDX6,PDIA3
PRDX6,PDIA3
ACLY,PGK1
ALDOC,PGK1
DLD,PGK1
FLNA,PGK1
PCK2,PGK1
PDIA3,PGK1
PRDX6,PGK1
CAPZB,SPTBN1
PRDX6,ATP5F1A
PRDX6,TPI1
PRDX6,VCP
