Value,Group,Group2,Group3
0.12333978,10mM NaAc_R,R,10mM NaAc
0.12151276,10mM NaAc_R,R,10mM NaAc
0.112156841,10mM NaAc_R,R,10mM NaAc
0.09465398,10mM NaAc_WT,WT,10mM NaAc
0.099983529,10mM NaAc_WT,WT,10mM NaAc
0.094094917,10mM NaAc_WT,WT,10mM NaAc
0.182601686,Control_R,R,Control
0.22198628,Control_R,R,Control
0.171395616,Control_R,R,Control
0.159994161,Control_WT,WT,Control
0.158867117,Control_WT,WT,Control
0.147163229,Control_WT,WT,Control
0.138468721,5mM NaBu_R,R,5mM NaBu
0.10786791,5mM NaBu_R,R,5mM NaBu
0.162104671,5mM NaBu_R,R,5mM NaBu
0.017356583,5mM NaBu_WT,WT,5mM NaBu
0.024796252,5mM NaBu_WT,WT,5mM NaBu
0.026282443,5mM NaBu_WT,WT,5mM NaBu
