PRDX6-K63ac,PRDX6,Ratio,Group,Group1,Group2,,,,,
88.091,95.187,0.925452005,Con-A,Control,A,,,,,
110.085,147.529,0.746192274,Con-A,Control,A,,,,,
60.046,130.464,0.460249571,Con-A,Control,A,,,,,
141.763,151.148,0.93790854,Con-A,Control,A,,,,,
32.89,122.707,0.268036868,DSS-A,DSS,A,,,,,
18.436,144.378,0.127692585,DSS-A,DSS,A,,,,,
24.198,176.204,0.137329459,DSS-A,DSS,A,,,,,
60.174,122.338,0.491866795,DSS-A,DSS,A,,,,,
44.782,150.548,0.297459946,FP-A,DSS+F. p,A,,,,,
48.737,131.299,0.371190946,FP-A,DSS+F. p,A,,,,,
60.693,149.941,0.404779213,FP-A,DSS+F. p,A,,,,,
53.057,106.532,0.498038148,FP-A,DSS+F. p,A,,,,,
53.755,112.291,0.478711562,Con-D,Control,D,,,,,
54.989,81.515,0.674587499,Con-D,Control,D,,,,,
43.567,115.746,0.376401776,Con-D,Control,D,,,,,
37.9,59.997,0.631698252,Con-D,Control,D,,,,,
12.371,87.941,0.140673861,DSS-D,DSS,D,,,,,
22.306,78.624,0.283704721,DSS-D,DSS,D,,,,,
21.974,91.008,0.241451301,DSS-D,DSS,D,,,,,
15.06,48.835,0.308385379,DSS-D,DSS,D,,,,,
45.191,100.036,0.451747371,FP-D,DSS+F. p,D,,,,,
31.707,70.389,0.450453906,FP-D,DSS+F. p,D,,,,,
63.008,69.121,0.911560886,FP-D,DSS+F. p,D,,,,,
42.156,81.308,0.518472967,FP-D,DSS+F. p,D,,,,,
