Value,Group
0.528722,PRDX6-K63Q
0.459094,PRDX6-K63Q
0.447366,PRDX6-WT
0.394822,PRDX6-K63Q
0.306062,PRDX6-K63Q
0.270912,PRDX6-WT
0.246225,PRDX6-K63Q
0.23602,PRDX6-WT
0.223496,PRDX6-K63Q
0.214567,PRDX6-K63R
0.212446,PRDX6-WT
0.183279,PRDX6-WT
0.182254,PRDX6-K63R
0.181187,PRDX6-K63Q
0.168585,PRDX6-K63Q
0.155144,PRDX6-K63Q
0.152004,PRDX6-WT
0.143472,PRDX6-K63R
0.142328,PRDX6-K63R
0.141519,PRDX6-WT
0.137758,PRDX6-K63Q
0.125318,PRDX6-K63Q
0.124209,PRDX6-K63R
0.120232,PRDX6-WT
0.114051,PRDX6-K63R
0.11156,PRDX6-K63R
0.110757,PRDX6-K63Q
0.108562,PRDX6-K63Q
0.10498,PRDX6-K63Q
0.098133,PRDX6-K63Q
0.091994,PRDX6-K63R
0.087077,PRDX6-K63Q
0.084814,PRDX6-K63R
0.082969,PRDX6-K63Q
0.078242,PRDX6-WT
0.073926,PRDX6-WT
0.071753,PRDX6-K63R
0.067647,PRDX6-K63Q
0.065422,PRDX6-K63R
0.064337,PRDX6-K63R
0.061043,PRDX6-K63R
0.060738,PRDX6-K63R
0.05818,PRDX6-K63R
0.057839,PRDX6-K63Q
0.054519,PRDX6-K63Q
0.054004,PRDX6-K63R
0.052799,PRDX6-K63R
0.050746,PRDX6-WT
0.047836,PRDX6-K63R
0.047525,PRDX6-K63R
0.046797,PRDX6-K63R
0.046199,PRDX6-K63Q
0.044661,PRDX6-K63Q
0.044039,PRDX6-K63Q
0.043641,PRDX6-WT
0.043474,PRDX6-K63Q
0.042557,PRDX6-WT
0.040545,PRDX6-K63Q
0.040183,PRDX6-WT
0.038069,PRDX6-WT
0.03803,PRDX6-K63Q
0.036948,PRDX6-K63Q
0.036435,PRDX6-WT
0.036144,PRDX6-K63R
0.035872,PRDX6-K63R
0.035398,PRDX6-K63R
0.035384,PRDX6-K63Q
0.034409,PRDX6-WT
0.034166,PRDX6-K63R
0.032697,PRDX6-WT
0.032251,PRDX6-K63R
0.031425,PRDX6-WT
0.031302,PRDX6-K63R
0.031183,PRDX6-WT
0.030233,PRDX6-K63Q
0.030223,PRDX6-K63R
0.030175,PRDX6-WT
0.029408,PRDX6-K63Q
0.029386,PRDX6-K63R
0.02926,PRDX6-K63R
0.026967,PRDX6-WT
0.026382,PRDX6-WT
0.026147,PRDX6-WT
0.025414,PRDX6-K63R
0.024751,PRDX6-K63R
0.024026,PRDX6-WT
0.022012,PRDX6-WT
0.02177,PRDX6-WT
0.020343,PRDX6-WT
0.020183,PRDX6-WT
0.018053,PRDX6-K63R
0.015492,PRDX6-WT
