Value,Group
4.153416667,PRDX6-K63R
4.1705,PRDX6-K63R
12.53375,PRDX6-K63Q
12.57075,PRDX6-K63Q
15.73,PRDX6-WT
16.72375,PRDX6-K63Q
17.164,PRDX6-WT
17.4485,PRDX6-K63Q
9.01975,PRDX6-K63R
20.6095,PRDX6-K63Q
23.83325,PRDX6-K63Q
24.078,PRDX6-WT
24.1075,PRDX6-K63Q
24.5795,PRDX6-K63Q
24.746,PRDX6-WT
26.91375,PRDX6-K63Q
27.98666667,PRDX6-K63R
28.00375,PRDX6-K63Q
28.139,PRDX6-WT
29.585,PRDX6-WT
30.10175,PRDX6-K63Q
31.1925,PRDX6-K63Q
31.652,PRDX6-WT
32.137,PRDX6-WT
32.853,PRDX6-WT
34.12675,PRDX6-K63Q
34.2665,PRDX6-K63Q
35.29125,PRDX6-K63Q
35.4975,PRDX6-K63Q
35.98175,PRDX6-K63Q
36.07,PRDX6-WT
38.15475,PRDX6-K63Q
38.79333333,PRDX6-K63R
38.871,PRDX6-WT
38.882,PRDX6-K63R
38.916,PRDX6-WT
40.358,PRDX6-K63R
41.031,PRDX6-WT
41.144,PRDX6-WT
41.53433333,PRDX6-K63R
41.68266667,PRDX6-K63R
41.692,PRDX6-K63R
41.985,PRDX6-WT
43.362,PRDX6-WT
45.107,PRDX6-WT
45.2925,PRDX6-K63Q
45.427,PRDX6-WT
45.86633333,PRDX6-K63R
45.95266667,PRDX6-K63R
47.0395,PRDX6-K63Q
47.50966667,PRDX6-K63R
47.66366667,PRDX6-K63R
48.924,PRDX6-K63R
48.951,PRDX6-WT
49.396,PRDX6-WT
50.1815,PRDX6-K63Q
51.615,PRDX6-WT
53.783,PRDX6-WT
54.77333333,PRDX6-K63R
54.933,PRDX6-K63R
55.21966667,PRDX6-K63R
55.63866667,PRDX6-K63R
57.333,PRDX6-K63R
57.66866667,PRDX6-K63R
58.167,PRDX6-K63R
59.53,PRDX6-WT
59.604,PRDX6-WT
59.894,PRDX6-WT
61.042,PRDX6-WT
63.38375,PRDX6-K63Q
63.88033333,PRDX6-K63R
64.21166667,PRDX6-K63R
66.21466667,PRDX6-K63R
67.334,PRDX6-WT
67.4,PRDX6-WT
67.627,PRDX6-WT
68.198,PRDX6-K63R
68.834,PRDX6-WT
70.25033333,PRDX6-K63R
71.036,PRDX6-K63R
71.12533333,PRDX6-K63R
71.90333333,PRDX6-K63R
82.40133333,PRDX6-K63R
89.562,PRDX6-K63R
63.28633333,PRDX6-K63R
