Day,WT,K60Q,K60R
8,1,1,1
8,,1,1
8,,1,1
9,1,1,1
9,1,1,1
9,1,1,1
9,,,1
9,,,1
9,,,1
10,1,1,1
10,1,1,1
10,1,1,1
10,1,1,1
10,1,1,1
10,1,,1
10,1,,1
10,1,,1
10,1,,
10,1,,
11,1,1,1
11,1,1,1
11,1,1,1
11,1,1,1
11,1,,1
11,1,,1
11,1,,1
11,,,1
11,,,1
11,,,1
11,,,1
11,,,1
12,1,1,1
12,1,1,1
12,1,1,1
12,1,1,1
12,1,1,1
12,1,1,1
12,1,1,1
12,1,1,1
12,,1,1
12,,1,1
15,1,1,1
15,1,1,1
15,1,1,1
15,1,1,1
15,1,1,1
15,1,1,1
15,1,1,1
15,1,1,1
15,1,1,1
15,1,1,1
15,1,1,1
15,1,1,1
15,1,1,1
15,1,1,
15,1,1,
15,1,1,
15,1,1,
15,1,1,
15,1,1,
15,1,1,
15,1,,
17,1,1,1
17,1,1,1
17,1,1,1
17,1,1,1
17,1,1,1
17,1,1,
17,1,,
17,1,,
17,1,,
17,1,,
17,1,,
17,1,,
17,1,,
19,1,1,1
19,1,1,1
19,1,1,1
19,1,1,
19,1,1,
19,1,1,
19,1,1,
21,1,1,1
21,1,1,1
21,1,1,1
21,1,1,
21,1,1,
21,,1,
21,,1,
23,1,1,1
23,1,1,
23,1,,
23,1,,
25,1,1,
25,1,,
