Value,Group,Group2,Group3
0.211879,Control_WT,WT,Control
0.169788,Control_WT,WT,Control
0.085433,Control_WT,WT,Control
0.123647,Control_WT,WT,Control
0.144333,Control_WT,WT,Control
0.01335,Control_WT,WT,Control
0.121974,Control_WT,WT,Control
0.140782,Control_WT,WT,Control
0.566615,Control_WT,WT,Control
0.156817,Control_WT,WT,Control
0.154428,Control_WT,WT,Control
0.023506,Control_WT,WT,Control
0.040432,Control_WT,WT,Control
0.026876,Control_WT,WT,Control
0.024092,Control_WT,WT,Control
0.527015,Control_WT,WT,Control
0.159985,Control_WT,WT,Control
0.023759,Control_WT,WT,Control
0.323858,Control_WT,WT,Control
0.121401,Control_R,R,Control
0.316455,Control_R,R,Control
0.382515,Control_R,R,Control
0.048548,Control_R,R,Control
0.020047,Control_R,R,Control
0.131181,Control_R,R,Control
0.66879,Control_R,R,Control
0.13387,Control_R,R,Control
0.678594,Control_R,R,Control
0.218857,Control_R,R,Control
0.023317,Control_R,R,Control
0.119828,Control_R,R,Control
0.033608,Control_R,R,Control
0.155155,Control_R,R,Control
0.025691,Control_R,R,Control
0.091157,Control_R,R,Control
0.016257,Control_R,R,Control
0.023182,Control_R,R,Control
0.063903,Control_R,R,Control
0.04128,Control_R,R,Control
0.167473,Control_R,R,Control
0.042544,Control_R,R,Control
0.137011,Control_R,R,Control
0.072212,Control_R,R,Control
0.376505,Control_R,R,Control
0.012497,Control_R,R,Control
0.140902,Control_R,R,Control
0.086371,Control_R,R,Control
0.070774,Control_R,R,Control
0.077997,Control_R,R,Control
0.063825,Control_R,R,Control
0.016035,Control_R,R,Control
0.56991,Control_R,R,Control
0.092537,Control_R,R,Control
0.222821,Control_R,R,Control
0.16169,Control_R,R,Control
0.017487,Control_R,R,Control
0.024238,Control_R,R,Control
0.166976,Control_R,R,Control
0.362852,Control_R,R,Control
0.011901,5mM NaBu_WT,WT,5mM NaBu
0.636121,5mM NaBu_WT,WT,5mM NaBu
0.056411,5mM NaBu_WT,WT,5mM NaBu
0.463899,5mM NaBu_WT,WT,5mM NaBu
0.163365,5mM NaBu_WT,WT,5mM NaBu
