Value,Group,Group2,Group3,,
16.361,Control_WT,WT,Control,wt-bu,0.002801496
77.14,Control_WT,WT,Control,wt-c-b,0.804079221
118.945,Control_WT,WT,Control,r-bu,0.695592305
48.588,Control_WT,WT,Control,r-c-b,0.001380294
107.249,Control_WT,WT,Control,,
39.92,Control_WT,WT,Control,,
58.512,Control_WT,WT,Control,,
45.216,Control_WT,WT,Control,,
47.115,Control_WT,WT,Control,,
28.363,Control_WT,WT,Control,,
102.465,Control_WT,WT,Control,,
88.085,Control_WT,WT,Control,,
88.731,Control_WT,WT,Control,,
66.562,Control_WT,WT,Control,,
77.807,Control_WT,WT,Control,,
64.003,Control_WT,WT,Control,,
46.773,Control_WT,WT,Control,,
55.114,Control_WT,WT,Control,,
42.16,Control_WT,WT,Control,,
30.318,Control_WT,WT,Control,,
64.347,Control_WT,WT,Control,,
79.475,Control_WT,WT,Control,,
97.95,Control_WT,WT,Control,,
46.902,Control_WT,WT,Control,,
79.785,Control_WT,WT,Control,,
112.851,Control_WT,WT,Control,,
33.462,Control_WT,WT,Control,,
42.751,Control_WT,WT,Control,,
37.23933333,20mM NaBu_WT,WT,20mM NaBu,,
25.11033333,20mM NaBu_WT,WT,20mM NaBu,,
34.95633333,20mM NaBu_WT,WT,20mM NaBu,,
72.42833333,20mM NaBu_WT,WT,20mM NaBu,,
49.73833333,20mM NaBu_WT,WT,20mM NaBu,,
46.18533333,20mM NaBu_WT,WT,20mM NaBu,,
58.08433333,20mM NaBu_WT,WT,20mM NaBu,,
43.64333333,20mM NaBu_WT,WT,20mM NaBu,,
69.92633333,20mM NaBu_WT,WT,20mM NaBu,,
38.96133333,20mM NaBu_WT,WT,20mM NaBu,,
19.411,20mM NaBu_WT,WT,20mM NaBu,,
64.946,20mM NaBu_WT,WT,20mM NaBu,,
57.019,20mM NaBu_WT,WT,20mM NaBu,,
57.37,20mM NaBu_WT,WT,20mM NaBu,,
61.792,20mM NaBu_WT,WT,20mM NaBu,,
50.386,20mM NaBu_WT,WT,20mM NaBu,,
69.899,20mM NaBu_WT,WT,20mM NaBu,,
48.019,20mM NaBu_WT,WT,20mM NaBu,,
41.658,20mM NaBu_WT,WT,20mM NaBu,,
27.877,20mM NaBu_WT,WT,20mM NaBu,,
39.74033333,20mM NaBu_WT,WT,20mM NaBu,,
64.30133333,20mM NaBu_WT,WT,20mM NaBu,,
90.84733333,20mM NaBu_WT,WT,20mM NaBu,,
52.77833333,20mM NaBu_WT,WT,20mM NaBu,,
66.33933333,20mM NaBu_WT,WT,20mM NaBu,,
53.92233333,20mM NaBu_WT,WT,20mM NaBu,,
