Day,WT 0mM,WT 10mM,R 0mM,R 10mM
8,1,1,,
8,1,1,,
8,1,,,
8,1,,,
8,1,,,
9,1,1,1,1
9,1,1,1,1
9,1,1,1,1
9,1,1,,
9,1,,,
9,1,,,
9,,,,
10,1,1,1,1
10,1,1,1,1
10,1,1,1,1
10,1,1,,
10,1,,,
10,1,,,
10,1,,,
10,1,,,
12,1,1,1,1
12,1,1,1,1
12,1,1,1,1
12,1,1,1,1
12,1,1,1,1
12,1,1,1,1
12,1,1,1,1
12,1,1,1,1
12,1,1,1,1
12,1,1,,1
12,1,1,,
12,1,1,,
12,1,1,,
12,1,1,,
12,1,,,
12,1,,,
12,1,,,
12,1,,,
12,1,,,
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,1
14,1,1,1,
14,1,1,1,
14,1,1,1,
14,1,1,1,
14,1,,1,
14,1,,,
14,1,,,
14,1,,,
14,1,,,
14,1,,,
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,1,1,1,1
16,,1,1,1
16,,1,,1
16,,,,1
16,,,,1
16,,,,1
16,,,,1
16,,,,1
18,1,1,1,1
18,1,1,1,1
18,1,1,1,1
18,1,1,1,1
18,1,1,1,1
18,1,1,1,1
18,1,,1,1
18,1,,1,1
18,,,1,
18,,,1,
20,1,1,1,1
20,1,1,1,1
20,,1,1,1
20,,1,1,1
20,,1,1,1
20,,1,,1
20,,1,,1
20,,,,1
22,1,1,1,1
22,,1,1,1
22,,1,1,
22,,1,1,
22,,,1,
24,,1,1,1
24,,1,1,
24,,1,1,1
24,,,1,
26,,1,1,1
26,,1,,1
26,,,,1
26,,,,1
28,,,1,1
30,,,,1
30,,,,1
